id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
1285347,167533,1003,10.2,1,44.0,,,,,
1285348,167533,1007,1.82,0,40.0,,,,,
1285349,167533,1018,0.0,0,40.0,,,,,
1285350,167533,1062,1047.0,0,49.0,,,,,
1285351,167533,1079,4.1,1,44.0,,,,,
1285352,167533,1089,2.76,1,44.0,,,,,
1285353,167533,1090,51.0,0,40.0,,,,,
1285354,167533,1091,142.0,0,40.0,,,,,
1285355,167533,1093,439.0,1,44.0,,,,,
1285356,167533,1098,0.175,0,40.0,,,,,
1285357,167533,1101,1.43,0,40.0,,,,,
1285358,167533,1104,0.0,1,44.0,,,,,
1285359,167533,1105,0.0,0,40.0,,,,,
1285360,167533,1106,0.0,0,49.0,,,,,
1285361,167533,1107,2.0,0,40.0,,,,,
1285362,167533,1108,0.0,0,40.0,,,,,
1285363,167533,1114,0.0,0,40.0,,,,,
1285364,167533,1120,0.0,0,40.0,,,,,
1285365,167533,1122,0.0,0,40.0,,,,,
1285366,167533,1162,0.0,1,44.0,,,,,
1285367,167533,1165,0.403,0,40.0,,,,,
1285368,167533,1166,0.209,0,40.0,,,,,
1285369,167533,1177,76.0,0,40.0,,,,,
1285370,167533,1178,0.0,0,40.0,,,,,
1285371,167533,1185,1.5,0,40.0,,,,,
1285372,167533,1187,31.0,0,40.0,,,,,
1285373,167533,1246,0.0,0,40.0,,,,,
1285374,167533,1253,0.0,1,44.0,,,,,
1285375,167533,1257,0.0,1,44.0,,,,,
1285376,167533,1258,0.0,1,44.0,,,,,
1285377,167533,1261,0.0,0,40.0,,,,,
1285378,167533,1263,0.0,0,40.0,,,,,
1285379,167533,1264,0.0,0,40.0,,,,,
1285380,167533,1272,0.0,0,40.0,,,,,
1285381,167533,1273,0.0,0,40.0,,,,,
1285382,167533,1274,0.0,0,40.0,,,,,
1285383,167533,1275,0.008,0,40.0,,,,,
1285384,167533,1278,0.0,0,40.0,,,,,
1285385,167533,1280,0.0,0,40.0,,,,,
1285386,167533,1300,0.0,0,40.0,,,,,
1285387,167533,1301,0.0,0,40.0,,,,,
1285388,167533,1312,0.0,0,40.0,,,,,
1285389,167533,1323,0.0,0,40.0,,,,,
1285390,167533,1333,0.0,0,40.0,,,,,
1285391,167533,1411,0.0,0,40.0,,,,,
1285392,167533,1004,1.53,1,44.0,,,,,
1285393,167533,1005,48.89,0,49.0,,,,,
1285394,167533,1008,250.0,0,49.0,,,,,
1285395,167533,1051,37.55,0,40.0,,,,,
1285396,167533,1057,0.0,0,40.0,,,,,
1285397,167533,1058,0.0,0,40.0,,,,,
1285398,167533,2000,6.12,1,44.0,,,,,
1285399,167533,1087,20.0,1,44.0,,,,,
1285400,167533,1092,165.0,0,40.0,,,,,
1285401,167533,1095,1.1,0,40.0,,,,,
1285402,167533,1099,24.1,0,40.0,,,,,
1285403,167533,1103,28.7,0,40.0,,,,,
1285404,167533,1109,0.32,0,40.0,,,,,
1285405,167533,1110,0.0,0,40.0,,,,,
1285406,167533,1123,88.0,0,40.0,,,,,
1285407,167533,1167,3.37,0,40.0,,,,,
1285408,167533,1170,0.375,0,40.0,,,,,
1285409,167533,1175,0.147,0,40.0,,,,,
1285410,167533,1180,9.8,0,40.0,,,,,
1285411,167533,1186,46.0,0,40.0,,,,,
1285412,167533,1190,108.0,0,49.0,,,,,
1285413,167533,1198,21.6,0,40.0,,,,,
1285414,167533,1242,0.0,0,40.0,,,,,
1285415,167533,1259,0.0,0,40.0,,,,,
1285416,167533,1260,0.0,0,40.0,,,,,
1285417,167533,1262,0.0,0,40.0,,,,,
1285418,167533,1265,0.0,0,40.0,,,,,
1285419,167533,1266,0.0,0,40.0,,,,,
1285420,167533,1267,0.0,0,40.0,,,,,
1285421,167533,1268,0.277,0,40.0,,,,,
1285422,167533,1269,0.859,0,40.0,,,,,
1285423,167533,1270,0.076,0,40.0,,,,,
1285424,167533,1271,0.0,0,40.0,,,,,
1285425,167533,1276,0.0,0,40.0,,,,,
1285426,167533,1277,0.005,0,40.0,,,,,
1285427,167533,1279,0.0,0,40.0,,,,,
1285428,167533,1292,0.29,0,40.0,,,,,
1285429,167533,1293,0.936,0,40.0,,,,,
1285430,167533,1299,0.0,0,40.0,,,,,
1285431,167533,1313,0.0,0,40.0,,,,,
